   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 542,              ,                ,               ,      4244,        4244,       6000
 543,              ,                ,               ,      4244,        4244,       6000
 544,              ,                ,               ,      4273,        4273,       7000
 545,              ,                ,               ,      4283,        4283,       7000
 546,              ,                ,               ,      4272,        4272,       7000
 547,              ,                ,               ,      4293,        4293,       7000
 548,              ,                ,               ,      4299,        4299,       6000
 549,              ,                ,               ,      4307,        4307,       5986
 550,              ,                ,               ,      4323,        4323,       6000
 551,              ,                ,               ,      4328,        4328,       6998
 552,              ,                ,               ,      4334,        4334,       7001
 553,              ,                ,               ,      4342,        4342,       7000
 554,              ,                ,               ,      4348,        4348,       7512
 555,              ,                ,               ,      4363,        4363,       8999
 556,              ,                ,               ,      4378,        4378,       8002
 557,              ,                ,               ,      4380,        4380,       7000
 558,              ,                ,               ,      4371,        4371,       9003
 559,              ,                ,               ,      4401,        4401,       9998
 560,              ,                ,               ,      4389,        4389,       9001
 561,              ,                ,               ,      4403,        4403,       7999
 562,              ,                ,               ,      4407,        4407,       7000
 563,              ,                ,               ,      4430,        4430,      14029
 564,              ,                ,               ,      4431,        4431,      15517
 565,              ,                ,               ,      4444,        4444,      12995
 566,              ,                ,               ,      4462,        4462,      18007
 567,              ,                ,               ,      4470,        4470,      15020
 568,              ,                ,               ,      4483,        4483,      12979
 569,              ,                ,               ,      4491,        4491,      12999
 570,              ,                ,               ,      4485,        4485,      12005
 571,              ,                ,               ,      4506,        4506,      12000
 572,              ,                ,               ,      4529,        4529,      12520
 573,              ,                ,               ,      4534,        4534,      13000
 574,              ,                ,               ,      4556,        4556,      11013
 575,              ,                ,               ,      4554,        4554,       6999
 576,              ,                ,               ,      4553,        4553,       7000
 577,              ,                ,               ,      4564,        4564,       7000
 578,              ,                ,               ,      4572,        4572,       7243
 579,              ,                ,               ,      4579,        4579,       7003
 580,              ,                ,               ,      4595,        4595,       8014
 581,              ,                ,               ,      4602,        4602,       6999
 582,              ,                ,               ,      4621,        4621,      11024
 583,              ,                ,               ,      4616,        4616,      12025
 584,              ,                ,               ,      4647,        4647,      12000
 585,              ,                ,               ,      4651,        4651,       6999
 586,              ,                ,               ,      4656,        4656,       7000
 587,              ,                ,               ,      4669,        4669,       7000
 588,              ,                ,               ,      4674,        4674,       7987
 589,              ,                ,               ,      4692,        4692,       6999
 590,              ,                ,               ,      4710,        4710,       7999
 591,              ,                ,               ,      4723,        4723,       7001
 592,              ,                ,               ,      4705,        4705,       7000
 593,              ,                ,               ,      4712,        4712,       6998
 594,              ,                ,               ,      4715,        4715,       7513
 595,              ,                ,               ,      4733,        4733,       8000
 596,              ,                ,               ,      4738,        4738,       8000
 597,              ,                ,               ,      4752,        4752,       7999
 598,              ,                ,               ,      4772,        4772,       8002
 599,              ,                ,               ,      4771,        4771,       6999
 600,              ,                ,               ,      4789,        4789,       8999
 601,              ,                ,               ,      4797,        4797,       8001
 602,              ,                ,               ,      4805,        4805,       8001
 603,              ,                ,               ,      4810,        4810,       7999
 604,              ,                ,               ,      4807,        4807,      31512
 605,              ,                ,               ,      4809,        4809,      14997
 606,              ,                ,               ,      4826,        4826,      13003
 607,              ,                ,               ,      4850,        4850,       7000
 608,              ,                ,               ,      4855,        4855,       7000
 609,              ,                ,               ,      4866,        4866,       8000
 610,              ,                ,               ,      4877,        4877,       8000
 611,              ,                ,               ,      4875,        4875,       7015
 612,              ,                ,               ,      4899,        4899,       7000
 613,              ,                ,               ,      4916,        4916,       8015
 614,              ,                ,               ,      4920,        4920,       8523
 615,              ,                ,               ,      4932,        4932,       7015
 616,              ,                ,               ,      4945,        4945,       7000
 617,              ,                ,               ,      4947,        4947,       7000
 618,              ,                ,               ,      4960,        4960,       6998
 619,              ,                ,               ,      4982,        4982,       8001
 620,              ,                ,               ,      4969,        4969,       7011
 621,              ,                ,               ,      4976,        4976,       8986
 622,              ,                ,               ,      4980,        4980,       8000
 623,              ,                ,               ,      5001,        5001,       9334
 624,              ,                ,               ,      5024,        5024,       8000
 625,              ,                ,               ,      5034,        5034,       8015
 626,              ,                ,               ,      5043,        5043,       8000
 627,              ,                ,               ,      5044,        5044,       8538
 628,              ,                ,               ,      5043,        5043,       8000
 629,              ,                ,               ,      5055,        5055,       8000
 630,              ,                ,               ,      5075,        5075,       8000
 631,              ,                ,               ,      5091,        5091,       7988
 632,              ,                ,               ,      5089,        5089,       7000
 633,              ,                ,               ,      5096,        5096,       8000
 634,              ,                ,               ,      5108,        5108,       8000
 635,              ,                ,               ,      5110,        5110,       7985
 636,              ,                ,               ,      5121,        5121,       8015
 637,              ,                ,               ,      5143,        5143,       8004
 638,              ,                ,               ,      5141,        5141,       8011
 639,              ,                ,               ,      5177,        5177,       8528
 640,              ,                ,               ,      5171,        5171,       8013
 641,              ,                ,               ,      5179,        5179,       8000
 642,              ,                ,               ,      5199,        5199,       8000
 643,              ,                ,               ,      5222,        5222,       8000
 644,              ,                ,               ,      5203,        5203,       8000
 645,              ,                ,               ,      5210,        5210,       7988
 646,              ,                ,               ,      5235,        5235,       9012
 647,              ,                ,               ,      5230,        5230,       8001
 648,              ,                ,               ,      5255,        5255,       8000
 649,              ,                ,               ,      5262,        5262,       9015
 650,              ,                ,               ,      5287,        5287,      14544
 651,              ,                ,               ,      5281,        5281,      12999
 652,              ,                ,               ,      5291,        5291,       9986
 653,              ,                ,               ,      5300,        5300,       8000
 654,              ,                ,               ,      5290,        5290,       9013
 655,              ,                ,               ,      5317,        5317,       9000
 656,              ,                ,               ,      5335,        5335,       9001
 657,              ,                ,               ,      5347,        5347,       9000
 658,              ,                ,               ,      5361,        5361,       9015
 659,              ,                ,               ,      5364,        5364,       8000
 660,              ,                ,               ,      5337,        5337,       7540
 661,              ,                ,               ,      5345,        5345,       9000
 662,              ,                ,               ,      5377,        5377,       8000
 663,              ,                ,               ,      5394,        5394,       8000
 664,              ,                ,               ,      5384,        5384,       9000
 665,              ,                ,               ,      5391,        5391,       8000
 666,              ,                ,               ,      5393,        5393,      11003
 667,              ,                ,               ,      5414,        5414,      13999
 668,              ,                ,               ,      5452,        5452,       9000
 669,              ,                ,               ,      5455,        5455,      22531
 670,              ,                ,               ,      5454,        5454,      12002
 671,              ,                ,               ,      5469,        5469,      11000
 672,              ,                ,               ,      5491,        5491,       9013
 673,              ,                ,               ,      5500,        5500,      10987
 674,              ,                ,               ,      5503,        5503,       9003
 675,              ,                ,               ,      5519,        5519,       9012
 676,              ,                ,               ,      5519,        5519,       9991
 677,              ,                ,               ,      5523,        5523,       8009
 678,              ,                ,               ,      5541,        5541,       8014
 679,              ,                ,               ,      5557,        5557,       8541
 680,              ,                ,               ,      5549,        5549,       9000
 681,              ,                ,               ,      5555,        5555,       8000
 682,              ,                ,               ,      5571,        5571,       8990
 683,              ,                ,               ,      5578,        5578,       8995
 684,              ,                ,               ,      5587,        5587,       9016
 685,              ,                ,               ,      5606,        5606,       8986
 686,              ,                ,               ,      5633,        5633,       7999
 687,              ,                ,               ,      5614,        5614,       7964
 688,              ,                ,               ,      5625,        5625,       8000
 689,              ,                ,               ,      5639,        5639,       8015
 690,              ,                ,               ,      5658,        5658,       8539
 691,              ,                ,               ,      5678,        5678,       9000
 692,              ,                ,               ,      5682,        5682,       9000
 693,              ,                ,               ,      5679,        5679,       8000
 694,              ,                ,               ,      5688,        5688,      10012
 695,              ,                ,               ,      5704,        5704,      10017
 696,              ,                ,               ,      5706,        5706,       9000
 697,              ,                ,               ,      5722,        5722,       9987
 698,              ,                ,               ,      5726,        5726,      10014
 699,              ,                ,               ,      5750,        5750,      10015
 700,              ,                ,               ,      5753,        5753,       8523
 701,              ,                ,               ,      5758,        5758,      14986
 702,              ,                ,               ,      5775,        5775,      16000
 703,              ,                ,               ,      5790,        5790,      13000
 704,              ,                ,               ,      5804,        5804,      13002
 705,              ,                ,               ,      5813,        5813,       9000
 706,              ,                ,               ,      5821,        5821,      10000
 707,              ,                ,               ,      5819,        5819,       9001
 708,              ,                ,               ,      5838,        5838,      10514
 709,              ,                ,               ,      5858,        5858,       9998
 710,              ,                ,               ,      5848,        5848,      14002
 711,              ,                ,               ,      5859,        5859,      18001
 712,              ,                ,               ,      5862,        5862,      17003
 713,              ,                ,               ,      5863,        5863,      15020
 714,              ,                ,               ,      5886,        5886,      11007
 715,              ,                ,               ,      5896,        5896,       9523
 716,              ,                ,               ,      5903,        5903,       9016
